code,title,value,latest_date,source,source_link,notes,explore,units
roh_001,Cumulative arrivals since 25 Aug,918936,8/2/2018,Inter Sector Coordination Group,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/iscg_situation_report_02_august_2018_data_summary.pdf,Arrivals from Myanmar in Cox's Bazar since 25 Aug 2017 (Cumulative),,count
roh_002,Arrivals in Kutupalong-Balukhali Expansion Site,626502,8/2/2018,Inter Sector Coordination Group,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/iscg_situation_report_02_august_2018_data_summary.pdf,Arrivals from Myanmar in Makeshift Settlement/Camp in Cox's Bazar (Cumulative),,count
roh_003,Arrivals in other settlements and camps,292434,8/2/2018,Inter Sector Coordination Group,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/iscg_situation_report_02_august_2018_data_summary.pdf,Arrivals from Myanmar in New Spontaneous Sites in Cox's Bazar (Cumulative),,count
roh_004,Arrivals in host communities,14880,8/2/2018,Inter Sector Coordination Group,https://www.humanitarianresponse.info/sites/www.humanitarianresponse.info/files/documents/files/iscg_situation_report_02_august_2018_data_summary.pdf,Arrivals from Myanmar in Host Communities in Cox's Bazar (Cumulative),,count
