COUNTRY_OF_ASYLUM,RETURN_DATE,ORIG_PROV_NAME,ORIG_DIST_NAME,DESTINATION_PROV_NAME,DESTINATION_DIST_NAME,INDIVIDUALS,MALE,FEMALE,
#country,#date+occurred,#admin1+name+x_origin,#admin2+name+x_origin,#admin1+name+x_destination,#admin2+name+x_destination,#affected+displaced+all,#affected+displaced+m,#affected+displaced+f,
Iran,07-Feb-18,Logar,Barakibarak,Logar,Barakibarak,1,0,1,
Other,07-Feb-18,Baghlan,Pul-e- khumri,Kabul,Kabul,13,4,9,
Iran,08-Feb-18,Daykundi,Shahrestan,Daykundi,Shahrestan,1,0,1,
Iran,08-Feb-18,Ghazni,Ghazni,Herat,Herat,1,0,1,
Iran,08-Feb-18,Ghor,Lal Wa Sarjangal,Herat,Herat,1,0,1,
Iran,11-Feb-18,Herat,Herat,Herat,Herat,1,0,1,
Iran,12-Feb-18,Herat,Herat,Herat,Herat,1,0,1,
Iran,12-Feb-18,Sar-e-Pul,Sar-e-Pul,Herat,Herat,1,1,0,
Iran,13-Feb-18,Balkh,Mazar-e-Sharif,Balkh,Mazar-e-Sharif,1,1,0,
Iran,13-Feb-18,Bamyan,Panjab,Kabul,Kabul,2,2,0,
Iran,13-Feb-18,Bamyan,Yakawlang,Bamyan,Yakawlang,1,0,1,
Iran,13-Feb-18,Daykundi,Shahrestan,Kabul,Kabul,1,0,1,
Iran,13-Feb-18,Ghor,Lal Wa Sarjangal,Kabul,Kabul,1,0,1,
Iran,13-Feb-18,Samangan,Dara-e- Suf-e- Payin,Kabul,Kabul,2,1,1,
Iran,13-Feb-18,Sar-e-Pul,Balkhab,Herat,Herat,1,1,0,
Iran,14-Feb-18,Bamyan,Waras,Bamyan,Waras,3,1,2,
Iran,14-Feb-18,Ghazni,Nawur,Ghazni,Nawur,1,1,0,
Iran,14-Feb-18,Herat,Herat,Herat,Herat,2,2,0,
Iran,14-Feb-18,Kandahar,Kandahar,Kandahar,Kandahar,1,1,0,
Iran,14-Feb-18,Kunduz,Dasht-e-Archi,Herat,Herat,1,1,0,
Iran,14-Feb-18,Takhar,Farkhar,Herat,Herat,1,0,1,
Iran,18-Feb-18,Balkh,Chemtal,Kabul,Kabul,1,1,0,
Iran,18-Feb-18,Balkh,Sholgareh,Kabul,Kabul,1,0,1,
Iran,18-Feb-18,Ghazni,Jaghuri,Kabul,Kabul,1,0,1,
Iran,18-Feb-18,Kabul,Kabul,Herat,Herat,1,0,1,
Iran,18-Feb-18,Sar-e-Pul,Sancharak(sangchark),Kabul,Kabul,1,0,1,
Iran,18-Feb-18,Wardak,Markaz-e-Behsud,Kabul,Kabul,1,0,1,
