DISP_DATE,ORIG_PROV_CODE,ORIG_PROV_NAME,ORIG_DIST_CODE,ORIG_DIST_NAME,DISP_PROV_CODE,DISP_PROV_NAME,DISP_DIST_CODE,DISP_DIST_NAME,DISP_IND,DISP_FAM,DISP_ADULT_MALE,DISP_ADULT_FEMALE,DISP_CHILDREN_U18
15-01-18,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,14,2,,,
15-01-18,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,144,24,,,
15-01-18,21,Ghor,2102,Charsadra,21,Ghor,2101,Chaghcharan,35,5,,,
15-01-18,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,21,3,,,
16-01-18,6,Nangarhar,613,Dehbala,6,Nangarhar,601,Jalalabad,14,2,3,3,8
16-01-18,31,Farah,3101,Farah,31,Farah,3101,Farah,161,23,,,
16-01-18,13,Kunar,1308,Chawkay,30,Hirat,3001,Hirat,14,2,,,
16-01-18,21,Ghor,2101,Chaghcharan,30,Hirat,3001,Hirat,14,2,,,
16-01-18,29,Badghis,2906,Balamurghab,30,Hirat,3001,Hirat,14,2,,,
17-01-18,7,Laghman,702,Alishang,3,Parwan,301,Charikar,14,2,,,
17-01-18,2,Kapisa,205,Tagab,1,Kabul,101,Kabul,140,20,24,39,77
18-01-18,17,Kunduz,1706,Khanabad,17,Kunduz,1705,Aliabad,49,7,,,
19-01-18,21,Ghor,2107,Pasaband,21,Ghor,2101,Chaghcharan,52,8,,,
19-01-18,6,Nangarhar,617,Achin,6,Nangarhar,606,Rodat,7,1,2,1,4
19-01-18,9,Baghlan,902,Baghlan-e-Jadid,1,Kabul,101,Kabul,84,12,22,30,32
20-01-18,28,Faryab,2802,Khwajasabzposh,18,Balkh,1802,Nahr-e-Shahi,109,15,,,
20-01-18,6,Nangarhar,604,Khogyani,6,Nangarhar,603,Surkhrod,56,8,8,8,40
21-01-18,3,Parwan,303,Shinwari,3,Parwan,301,Charikar,21,3,,,
21-01-18,4,Wardak,406,Chak,4,Wardak,401,Maydanshahr,105,15,,,
21-01-18,18,Balkh,1812,Charbulak,18,Balkh,1802,Nahr-e-Shahi,217,31,,,
21-01-18,6,Nangarhar,605,Chaparhar,6,Nangarhar,601,Jalalabad,28,4,5,7,16
21-01-18,7,Laghman,702,Alishang,6,Nangarhar,603,Surkhrod,49,7,7,7,35
22-01-18,2,Kapisa,205,Tagab,2,Kapisa,201,Mahmud-e-Raqi,105,15,,,
24-01-18,2,Kapisa,206,Alasay,2,Kapisa,201,Mahmud-e-Raqi,35,5,,,
25-01-18,29,Badghis,2905,Jawand,29,Badghis,2901,Qala-e-Naw,60,12,,,
25-01-18,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,115,23,,,
25-01-18,21,Ghor,2103,DoLayna,21,Ghor,2101,Chaghcharan,44,9,,,
25-01-18,29,Badghis,2906,Balamurghab,30,Hirat,3001,Hirat,55,7,,,
25-01-18,29,Badghis,2904,Qadis,30,Hirat,3001,Hirat,23,5,,,
25-01-18,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,20,3,,,
26-01-18,6,Nangarhar,613,Dehbala,6,Nangarhar,603,Surkhrod,14,2,2,2,
26-01-18,4,Wardak,409,Jaghatu,1,Kabul,101,Kabul,91,13,16,28,59
27-01-18,13,Kunar,1308,Chawkay,6,Nangarhar,602,Behsud,35,5,7,8,20
27-01-18,29,Badghis,2906,Balamurghab,29,Badghis,2901,Qala-e-Naw,184,35,,,
27-01-18,6,Nangarhar,605,Chaparhar,6,Nangarhar,602,Behsud,28,4,6,8,14
27-01-18,7,Laghman,704,Alingar,6,Nangarhar,602,Behsud,14,2,3,4,7
27-01-18,2,Kapisa,202,Nejrab,2,Kapisa,201,Mahmud-e-Raqi,21,3,,,
28-01-18,21,Ghor,2103,DoLayna,30,Hirat,3002,Injil,44,5,,,
28-01-18,31,Farah,3105,Pushtrod,30,Hirat,3002,Injil,33,6,,,
28-01-18,30,Hirat,3015,Shindand,30,Hirat,3001,Hirat,230,40,,,
28-01-18,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,28,4,,,
28-01-18,29,Badghis,2905,Jawand,21,Ghor,2101,Chaghcharan,25,3,,,
28-01-18,22,Daykundi,2208,Kajran,30,Hirat,3005,Guzara,10,1,,,
28-01-18,28,Faryab,2805,Almar,30,Hirat,3002,Injil,12,2,,,
28-01-18,23,Uruzgan,2301,Tirinkot,23,Uruzgan,2301,Tirinkot,705,95,126,137,442
28-01-18,29,Badghis,2905,Jawand,30,Hirat,3001,Hirat,43,5,,,
28-01-18,31,Farah,3106,Qala-e-Kah,31,Farah,3101,Farah,21,3,,,
28-01-18,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,168,24,,,
28-01-18,31,Farah,3104,Khak-e-Safed,31,Farah,3101,Farah,21,3,,,
28-01-18,31,Farah,3101,Farah,31,Farah,3101,Farah,490,70,,,
28-01-18,21,Ghor,2110,Saghar,21,Ghor,2101,Chaghcharan,28,4,,,
28-01-18,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,28,4,,,
28-01-18,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,119,17,,,
28-01-18,29,Badghis,2904,Qadis,29,Badghis,2901,Qala-e-Naw,36,5,,,
28-01-18,29,Badghis,2905,Jawand,29,Badghis,2901,Qala-e-Naw,17,4,,,
28-01-18,29,Badghis,2902,Muqur,29,Badghis,2901,Qala-e-Naw,143,25,,,
28-01-18,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,98,18,,,
28-01-18,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,15,2,,,
28-01-18,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,210,30,,,
28-01-18,32,Hilmand,3202,Nahr-e-Saraj,30,Hirat,3001,Hirat,10,2,,,
29-01-18,7,Laghman,704,Alingar,6,Nangarhar,603,Surkhrod,70,10,10,10,50
29-01-18,6,Nangarhar,605,Chaparhar,6,Nangarhar,603,Surkhrod,70,10,10,10,50
30-01-18,14,Nuristan,1402,Mandol,8,Panjsher,806,Onaba (Anawa),28,4,,,
30-01-18,4,Wardak,409,Jaghatu,4,Wardak,401,Maydanshahr,70,10,,,
01-02-18,28,Faryab,2802,Khwajasabzposh,18,Balkh,1802,Nahr-e-Shahi,539,77,,,
01-02-18,16,Takhar,1617,Darqad,16,Takhar,1601,Taloqan,602,86,,,
01-02-18,16,Takhar,1617,Darqad,16,Takhar,1612,Khwajabahawuddin,490,70,,,
01-02-18,2,Kapisa,206,Alasay,1,Kabul,101,Kabul,217,31,30,65,122
01-02-18,2,Kapisa,205,Tagab,1,Kabul,101,Kabul,140,20,30,50,50
01-02-18,16,Takhar,1617,Darqad,16,Takhar,1617,Darqad,4270,610,,,
02-02-18,23,Uruzgan,2305,Khasuruzgan,23,Uruzgan,2301,Tirinkot,160,18,22,28,110
04-02-18,12,Paktya,1202,Sayedkaram / Mirzaka,26,Khost,2601,Khost (Matun),35,5,5,5,25
04-02-18,25,Paktika,2510,Urgun,26,Khost,2601,Khost (Matun),84,12,12,12,60
05-02-18,3,Parwan,303,Shinwari,2,Kapisa,207,Hisa-e-Awal-e-Kohestan,28,4,,,
05-02-18,5,Logar,505,Charkh,26,Khost,2601,Khost (Matun),70,10,10,10,50
05-02-18,26,Khost,2608,Terezayi,26,Khost,2601,Khost (Matun),35,5,5,5,25
05-02-18,9,Baghlan,903,Dahana-e-Ghori,3,Parwan,304,Bagram,14,2,,,
06-02-18,22,Daykundi,2205,Gizab / Patoo,22,Daykundi,2201,Nili,3,1,1,1,3
06-02-18,29,Badghis,2905,Jawand,29,Badghis,2901,Qala-e-Naw,33,6,,,
08-02-18,29,Badghis,2902,Muqur,29,Badghis,2901,Qala-e-Naw,105,19,,,
09-02-18,23,Uruzgan,2302,Chora / Chinarto,23,Uruzgan,2301,Tirinkot,110,15,17,19,74
10-02-18,13,Kunar,1305,Marawara,13,Kunar,1305,Marawara,6,1,1,1,4
10-02-18,13,Kunar,1306,Shigal Wa Sheltan,13,Kunar,1306,Shigal Wa Sheltan,112,16,19,23,70
10-02-18,13,Kunar,1312,Ghaziabad,13,Kunar,1306,Shigal Wa Sheltan,35,5,5,8,22
11-02-18,28,Faryab,2805,Almar,28,Faryab,2801,Maymana,686,98,,,
11-02-18,13,Kunar,1305,Marawara,13,Kunar,1305,Marawara,18,3,4,4,10
11-02-18,28,Faryab,2802,Khwajasabzposh,28,Faryab,2801,Maymana,553,79,,,
11-02-18,29,Badghis,2904,Qadis,29,Badghis,2901,Qala-e-Naw,88,16,,,
11-02-18,28,Faryab,2806,Qaysar,28,Faryab,2801,Maymana,357,51,,,
12-02-18,15,Badakhshan,1520,Yamgan,8,Panjsher,805,Khenj (Hes-e-Awal),35,5,,,
12-02-18,13,Kunar,1302,Watapur,13,Kunar,1302,Watapur,63,9,15,18,30
12-02-18,28,Faryab,2804,Shirintagab,27,Jawzjan,2701,Shiberghan,140,20,,,
12-02-18,27,Jawzjan,2711,Darzab,27,Jawzjan,2701,Shiberghan,252,36,,,
12-02-18,27,Jawzjan,2704,Qushtepa,27,Jawzjan,2701,Shiberghan,259,37,,,
12-02-18,28,Faryab,2809,Bilcheragh,27,Jawzjan,2701,Shiberghan,168,24,,,
13-02-18,13,Kunar,1313,Chapadara,13,Kunar,1307,Dara-e-Pech,91,13,27,25,39
13-02-18,14,Nuristan,1402,Mandol,2,Kapisa,207,Hisa-e-Awal-e-Kohestan,7,1,,,
14-02-18,13,Kunar,1310,Dangam,13,Kunar,1311,Barkunar,21,3,3,3,15
14-02-18,25,Paktika,2516,Gyan,25,Paktika,2501,Sharan,685,98,,,
15-02-18,21,Ghor,2102,Charsadra,21,Ghor,2101,Chaghcharan,21,3,,,
15-02-18,29,Badghis,2901,Qala-e-Naw,29,Badghis,2901,Qala-e-Naw,17,3,,,
15-02-18,31,Farah,3111,Anardara,31,Farah,3101,Farah,16,3,,,
15-02-18,31,Farah,3109,Gulestan,31,Farah,3101,Farah,10,2,,,
15-02-18,31,Farah,3107,Shibkoh,31,Farah,3101,Farah,9,1,,,
15-02-18,29,Badghis,2902,Muqur,29,Badghis,2901,Qala-e-Naw,40,7,,,
15-02-18,31,Farah,3106,Qala-e-Kah,31,Farah,3101,Farah,11,2,,,
15-02-18,29,Badghis,2907,Ghormach,29,Badghis,2901,Qala-e-Naw,9,3,,,
15-02-18,4,Wardak,402,Jalrez,4,Wardak,401,Maydanshahr,28,4,,,
15-02-18,29,Badghis,2904,Qadis,29,Badghis,2901,Qala-e-Naw,138,27,,,
15-02-18,29,Badghis,2906,Balamurghab,29,Badghis,2901,Qala-e-Naw,35,5,,,
15-02-18,29,Badghis,2901,Qala-e-Naw,29,Badghis,2901,Qala-e-Naw,55,9,,,
15-02-18,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,193,33,,,
15-02-18,31,Farah,3101,Farah,31,Farah,3101,Farah,179,27,,,
15-02-18,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,152,26,,,
15-02-18,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,235,43,,,
15-02-18,31,Farah,3104,Khak-e-Safed,31,Farah,3101,Farah,6,1,,,
15-02-18,29,Badghis,2907,Ghormach,34,Nimroz,3401,Zaranj,48,7,8,7,33
15-02-18,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,185,30,,,
16-02-18,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,31,8,,,
17-02-18,9,Baghlan,903,Dahana-e-Ghori,1,Kabul,107,Bagrami,49,7,10,18,21
17-02-18,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,25,4,,,
17-02-18,7,Laghman,704,Alingar,7,Laghman,704,Alingar,2527,361,743,755,1022
17-02-18,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,560,80,103,189,268
18-02-18,9,Baghlan,902,Baghlan-e-Jadid,1,Kabul,102,Dehsabz,70,10,15,20,35
18-02-18,29,Badghis,2905,Jawand,21,Ghor,2101,Chaghcharan,32,5,,,
18-02-18,21,Ghor,2104,Dawlatyar,21,Ghor,2104,Dawlatyar,50,7,,,
18-02-18,14,Nuristan,1402,Mandol,14,Nuristan,1401,Poruns,19,3,3,3,13
18-02-18,21,Ghor,2107,Pasaband,21,Ghor,2104,Dawlatyar,12,3,,,
20-02-18,19,Samangan,1901,Aybak,19,Samangan,1901,Aybak,378,54,,,
20-02-18,4,Wardak,403,Nerkh,1,Kabul,101,Kabul,133,19,33,40,60
20-02-18,25,Paktika,2518,Dila,25,Paktika,2501,Sharan,539,77,,,
20-02-18,28,Faryab,2804,Shirintagab,18,Balkh,1802,Nahr-e-Shahi,686,98,,,
20-02-18,32,Hilmand,3203,Nad-e-Ali / Marja,32,Hilmand,3203,Nad-e-Ali / Marja,885,111,179,230,476
22-02-18,28,Faryab,2809,Bilcheragh,28,Faryab,2811,Andkhoy,56,8,,,
22-02-18,28,Faryab,2802,Khwajasabzposh,28,Faryab,2811,Andkhoy,56,8,,,
22-02-18,28,Faryab,2804,Shirintagab,28,Faryab,2811,Andkhoy,749,107,,,
22-02-18,21,Ghor,2103,DoLayna,21,Ghor,2101,Chaghcharan,23,5,,,
22-02-18,14,Nuristan,1406,Waygal,14,Nuristan,1401,Poruns,55,9,7,8,40
22-02-18,13,Kunar,1313,Chapadara,13,Kunar,1313,Chapadara,10,2,2,2,6
22-02-18,14,Nuristan,1404,Nurgeram,14,Nuristan,1405,Wama,37,6,6,6,25
22-02-18,14,Nuristan,1404,Nurgeram,14,Nuristan,1404,Nurgeram,16,2,2,2,12
22-02-18,28,Faryab,2803,Pashtunkot,28,Faryab,2801,Maymana,658,94,,,
22-02-18,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,32,7,,,
22-02-18,13,Kunar,1307,Dara-e-Pech,13,Kunar,1307,Dara-e-Pech,12,2,2,2,8
22-02-18,28,Faryab,2804,Shirintagab,28,Faryab,2801,Maymana,266,38,,,
22-02-18,28,Faryab,2810,Dawlatabad,28,Faryab,2811,Andkhoy,196,28,,,
23-02-18,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,25,4,,,
25-02-18,28,Faryab,2804,Shirintagab,28,Faryab,2801,Maymana,329,47,,,
25-02-18,28,Faryab,2803,Pashtunkot,28,Faryab,2801,Maymana,1169,167,,,
25-02-18,28,Faryab,2807,Kohestan,28,Faryab,2801,Maymana,448,64,,,
25-02-18,28,Faryab,2805,Almar,28,Faryab,2801,Maymana,504,72,,,
25-02-18,28,Faryab,2803,Pashtunkot,28,Faryab,2801,Maymana,1806,258,,,
25-02-18,28,Faryab,2802,Khwajasabzposh,28,Faryab,2801,Maymana,322,46,,,
28-02-18,5,Logar,505,Charkh,1,Kabul,101,Kabul,70,10,15,25,30
01-03-18,9,Baghlan,901,Pul-e-Khumri,9,Baghlan,901,Pul-e-Khumri,945,135,,,
01-03-18,16,Takhar,1617,Darqad,16,Takhar,1612,Khwajabahawuddin,1582,226,,,
01-03-18,32,Hilmand,3210,Kajaki,33,Kandahar,3301,Kandahar / Dand,462,68,115,103,244
01-03-18,5,Logar,504,Barakibarak,1,Kabul,101,Kabul,140,20,30,40,70
02-03-18,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,42,6,11,16,15
02-03-18,7,Laghman,701,Mehtarlam / Bad Pash,7,Laghman,701,Mehtarlam / Bad Pash,21,3,5,7,9
02-03-18,28,Faryab,2803,Pashtunkot,18,Balkh,1802,Nahr-e-Shahi,196,28,,,
02-03-18,9,Baghlan,902,Baghlan-e-Jadid,18,Balkh,1802,Nahr-e-Shahi,105,15,,,
02-03-18,28,Faryab,2809,Bilcheragh,18,Balkh,1802,Nahr-e-Shahi,140,20,,,
02-03-18,20,Sar-e-Pul,2002,Sayad,18,Balkh,1802,Nahr-e-Shahi,91,13,,,
02-03-18,27,Jawzjan,2708,Mardyan,18,Balkh,1802,Nahr-e-Shahi,182,26,,,
03-03-18,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,79,12,10,12,57
04-03-18,25,Paktika,2510,Urgun,26,Khost,2601,Khost (Matun),70,10,10,10,50
04-03-18,21,Ghor,2109,Tolak,21,Ghor,2101,Chaghcharan,31,5,,,
04-03-18,7,Laghman,701,Mehtarlam / Bad Pash,7,Laghman,701,Mehtarlam / Bad Pash,75,10,10,11,54
05-03-18,5,Logar,505,Charkh,26,Khost,2601,Khost (Matun),35,5,5,5,25
06-03-18,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,293,48,,,
06-03-18,6,Nangarhar,614,Kot,7,Laghman,701,Mehtarlam / Bad Pash,46,6,9,9,28
06-03-18,26,Khost,2608,Terezayi,26,Khost,2601,Khost (Matun),14,2,2,2,10
06-03-18,13,Kunar,1306,Shigal Wa Sheltan,13,Kunar,1306,Shigal Wa Sheltan,11,2,2,2,7
06-03-18,12,Paktya,1202,Sayedkaram / Mirzaka,26,Khost,2601,Khost (Matun),21,3,3,3,15
07-03-18,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,30,5,,,
07-03-18,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,60,10,,,
08-03-18,29,Badghis,2904,Qadis,29,Badghis,2901,Qala-e-Naw,25,4,,,
08-03-18,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,157,26,,,
08-03-18,13,Kunar,1310,Dangam,13,Kunar,1308,Chawkay,18,3,3,3,12
08-03-18,21,Ghor,2103,DoLayna,21,Ghor,2101,Chaghcharan,32,6,,,
09-03-18,31,Farah,3111,Anardara,31,Farah,3101,Farah,5,1,,,
10-03-18,13,Kunar,1306,Shigal Wa Sheltan,13,Kunar,1301,Asadabad,23,4,4,4,15
10-03-18,31,Farah,3102,Bakwa,31,Farah,3101,Farah,4,1,,,
