DISP_DATE,ORIG_PROV_CODE,ORIG_PROV_NAME,ORIG_DIST_CODE,ORIG_DIST_NAME,DISP_PROV_CODE,DISP_PROV_NAME,DISP_DIST_CODE,DISP_DIST_NAME,DISP_IND,DISP_FAM,DISP_ADULT_MALE,DISP_ADULT_FEMALE,DISP_CHILDREN_U18
#date+occurred,#admin1+code+x_origin,#admin1+name+x_origin,#admin2+code+x_origin,#admin2+name+x_origin,#admin1+code+x_destination,#admin1+name+x_destination,#admin2+code+x_destination,#admin2+name+x_destination,#affected+displaced,#affected+dispalced+families,#affected+displaced+m+adults,#affected+displaced+f+adults,#affected+dispalced+children
01-01-18,28,Faryab,2805,Almar,28,Faryab,2805,Almar,1519,217,,,
01-01-18,13,Kunar,1302,Watapur,13,Kunar,1301,Asadabad,231,33,40,46,150
01-01-18,22,Daykundi,2205,Gizab / Patoo,22,Daykundi,2201,Nili,197,38,,,
01-01-18,26,Khost,2603,Musakhel,5,Logar,501,Pul-e-Alam,7,1,,,
01-01-18,2,Kapisa,205,Tagab,2,Kapisa,205,Tagab,1281,183,,,
01-01-18,22,Daykundi,2205,Gizab / Patoo,22,Daykundi,2201,Nili,11,1,2,1,8
01-01-18,2,Kapisa,205,Tagab,3,Parwan,304,Bagram,35,5,,,
02-01-18,32,Hilmand,3201,Lashkargah,34,Nimroz,3401,Zaranj,22,3,3,4,15
02-01-18,5,Logar,504,Barakibarak,5,Logar,501,Pul-e-Alam,84,12,,,
02-01-18,21,Ghor,2103,DoLayna,34,Nimroz,3401,Zaranj,18,3,3,4,11
02-01-18,30,Hirat,3015,Shindand,34,Nimroz,3401,Zaranj,4,1,0,1,3
02-01-18,19,Samangan,1906,Khuram Wa Sarbagh,19,Samangan,1901,Aybak,56,8,,,
02-01-18,31,Farah,3103,Balabuluk,34,Nimroz,3401,Zaranj,30,4,4,6,20
02-01-18,6,Nangarhar,604,Khogyani,7,Laghman,701,Mehtarlam / Bad Pash,14,2,2,2,10
02-01-18,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,84,12,14,13,57
02-01-18,25,Paktika,2510,Urgun,25,Paktika,2510,Urgun,910,130,,,
02-01-18,7,Laghman,701,Mehtarlam / Bad Pash,7,Laghman,701,Mehtarlam / Bad Pash,12,2,2,2,8
02-01-18,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,140,20,22,23,95
03-01-18,21,Ghor,2109,Tolak,21,Ghor,2101,Chaghcharan,6,1,,,
03-01-18,5,Logar,505,Charkh,5,Logar,503,Mohammadagha,28,4,,,
03-01-18,21,Ghor,2104,Dawlatyar,21,Ghor,2101,Chaghcharan,16,3,,,
03-01-18,29,Badghis,2906,Balamurghab,29,Badghis,2901,Qala-e-Naw,114,19,,,
03-01-18,21,Ghor,2101,Chaghcharan,21,Ghor,2101,Chaghcharan,70,14,,,
03-01-18,21,Ghor,2103,DoLayna,21,Ghor,2101,Chaghcharan,17,4,,,
03-01-18,21,Ghor,2107,Pasaband,21,Ghor,2101,Chaghcharan,22,3,,,
03-01-18,29,Badghis,2905,Jawand,29,Badghis,2901,Qala-e-Naw,42,8,,,
03-01-18,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,7,1,,,
03-01-18,2,Kapisa,206,Alasay,3,Parwan,301,Charikar,210,30,,,
03-01-18,29,Badghis,2902,Muqur,29,Badghis,2901,Qala-e-Naw,2,1,,,
03-01-18,21,Ghor,2102,Charsadra,21,Ghor,2101,Chaghcharan,13,2,,,
03-01-18,21,Ghor,2106,Taywarah,21,Ghor,2101,Chaghcharan,8,2,,,
03-01-18,19,Samangan,1901,Aybak,19,Samangan,1901,Aybak,623,89,,,
04-01-18,12,Paktya,1202,Sayedkaram / Mirzaka,5,Logar,501,Pul-e-Alam,7,1,,,
05-01-18,29,Badghis,2906,Balamurghab,29,Badghis,2901,Qala-e-Naw,120,20,,,
06-01-18,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,90,15,,,
06-01-18,29,Badghis,2902,Muqur,29,Badghis,2901,Qala-e-Naw,72,12,,,
07-01-18,15,Badakhshan,1505,Kohestan,15,Badakhshan,1501,Fayzabad,847,121,,,
08-01-18,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,121,22,22,23,76
08-01-18,11,Ghazni,1110,Qarabagh,11,Ghazni,1101,Ghazni,98,14,12,14,72
08-01-18,13,Kunar,1308,Chawkay,13,Kunar,1308,Chawkay,3452,551,2255,610,592
08-01-18,13,Kunar,1308,Chawkay,13,Kunar,1309,Khaskunar,175,25,45,52,78
10-01-18,31,Farah,3101,Farah,31,Farah,3101,Farah,105,15,,,
10-01-18,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,77,14,14,15,48
10-01-18,31,Farah,3103,Balabuluk,31,Farah,3101,Farah,189,27,,,
10-01-18,25,Paktika,2512,Janikhel,25,Paktika,2510,Urgun,735,105,,,
10-01-18,7,Laghman,705,Dawlatshah,3,Parwan,301,Charikar,21,3,,,
10-01-18,7,Laghman,704,Alingar,7,Laghman,701,Mehtarlam / Bad Pash,66,12,12,12,42
10-01-18,11,Ghazni,1104,Waghaz,11,Ghazni,1101,Ghazni,56,8,8,8,40
10-01-18,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,357,51,,,
10-01-18,4,Wardak,407,Saydabad,4,Wardak,407,Saydabad,560,80,,,
10-01-18,6,Nangarhar,604,Khogyani,1,Kabul,101,Kabul,105,15,20,35,50
10-01-18,20,Sar-e-Pul,2007,Sancharak,20,Sar-e-Pul,2001,Sar-e-Pul,413,59,,,
10-01-18,20,Sar-e-Pul,2002,Sayad,20,Sar-e-Pul,2001,Sar-e-Pul,420,60,,,
10-01-18,31,Farah,3103,Balabuluk,31,Farah,3103,Balabuluk,109,16,,,
10-01-18,31,Farah,3109,Gulestan,31,Farah,3101,Farah,49,7,,,
11-01-18,28,Faryab,2804,Shirintagab,27,Jawzjan,2701,Shiberghan,14,2,,,
11-01-18,27,Jawzjan,2711,Darzab,27,Jawzjan,2701,Shiberghan,84,12,,,
11-01-18,2,Kapisa,202,Nejrab,2,Kapisa,202,Nejrab,105,15,,,
11-01-18,28,Faryab,2809,Bilcheragh,27,Jawzjan,2701,Shiberghan,64,8,,,
11-01-18,27,Jawzjan,2704,Qushtepa,27,Jawzjan,2701,Shiberghan,238,34,,,
11-01-18,28,Faryab,2806,Qaysar,27,Jawzjan,2701,Shiberghan,14,2,,,
11-01-18,28,Faryab,2802,Khwajasabzposh,27,Jawzjan,2701,Shiberghan,35,5,,,
11-01-18,20,Sar-e-Pul,2002,Sayad,27,Jawzjan,2701,Shiberghan,133,19,,,
11-01-18,6,Nangarhar,610,Hesarak,6,Nangarhar,603,Surkhrod,182,26,35,35,112
12-01-18,31,Farah,3111,Anardara,31,Farah,3101,Farah,14,2,,,
12-01-18,20,Sar-e-Pul,2006,Balkhab,1,Kabul,101,Kabul,70,10,15,25,30
12-01-18,4,Wardak,403,Nerkh,4,Wardak,401,Maydanshahr,511,73,,,
12-01-18,13,Kunar,1312,Ghaziabad,6,Nangarhar,602,Behsud,56,8,12,15,29
12-01-18,11,Ghazni,1105,Andar,1,Kabul,101,Kabul,70,10,12,27,31
12-01-18,7,Laghman,704,Alingar,2,Kapisa,204,Hisa-e-Duwum-e-Kohestan,14,2,,,
13-01-18,6,Nangarhar,605,Chaparhar,6,Nangarhar,601,Jalalabad,35,5,7,9,19
13-01-18,6,Nangarhar,606,Rodat,1,Kabul,101,Kabul,84,12,15,20,49
13-01-18,31,Farah,3104,Khak-e-Safed,31,Farah,3101,Farah,7,1,,,
13-01-18,31,Farah,3105,Pushtrod,31,Farah,3101,Farah,161,23,,,
13-01-18,9,Baghlan,904,Doshi,2,Kapisa,201,Mahmud-e-Raqi,70,10,,,
14-01-18,4,Wardak,409,Jaghatu,1,Kabul,101,Kabul,140,20,35,54,51
14-01-18,6,Nangarhar,605,Chaparhar,6,Nangarhar,603,Surkhrod,42,6,6,6,30
14-01-18,9,Baghlan,901,Pul-e-Khumri,9,Baghlan,901,Pul-e-Khumri,2233,319,,,
14-01-18,13,Kunar,1306,Shigal Wa Sheltan,13,Kunar,1301,Asadabad,77,13,12,14,51
14-01-18,23,Uruzgan,2305,Khasuruzgan,11,Ghazni,1101,Ghazni,84,12,10,12,62
15-01-18,17,Kunduz,1704,Chardarah,17,Kunduz,1701,Kunduz,77,11,,,
15-01-18,21,Ghor,2107,Pasaband,21,Ghor,2101,Chaghcharan,10,2,,,
15-01-18,29,Badghis,2906,Balamurghab,29,Badghis,2901,Qala-e-Naw,22,4,,,
15-01-18,17,Kunduz,1703,Qala-e-Zal,17,Kunduz,1703,Qala-e-Zal,2674,382,,,
15-01-18,17,Kunduz,1702,Emamsaheb,17,Kunduz,1702,Emamsaheb,4032,576,,,
15-01-18,31,Farah,3106,Qala-e-Kah,31,Farah,3101,Farah,35,5,,,
15-01-18,7,Laghman,705,Dawlatshah,8,Panjsher,801,Bazarak,21,3,,,
15-01-18,29,Badghis,2905,Jawand,21,Ghor,2101,Chaghcharan,21,7,,,
15-01-18,21,Ghor,2109,Tolak,21,Ghor,2101,Chaghcharan,8,2,,,
15-01-18,29,Badghis,2903,Abkamari,29,Badghis,2901,Qala-e-Naw,77,14,,,
15-01-18,21,Ghor,2105,Shahrak,21,Ghor,2101,Chaghcharan,20,4,,,
15-01-18,17,Kunduz,1704,Chardarah,17,Kunduz,1701,Kunduz,5698,814,,,
15-01-18,17,Kunduz,1704,Chardarah,17,Kunduz,1704,Chardarah,1085,155,,,
15-01-18,19,Samangan,1906,Khuram Wa Sarbagh,2,Kapisa,207,Hisa-e-Awal-e-Kohestan,49,7,,,
